species;decimallat;decimallon
Papilio machaon;51.19470;4.466920000000000
Papilio machaon;50.75271;3.602480000000000
Papilio machaon;50.96606;4.744550000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.78409;4.879630000000000
Papilio machaon;50.78521;4.808740000000000
Papilio machaon;51.06234;4.248670000000000
Papilio machaon;51.05485;4.819230000000000
Papilio machaon;50.78832;4.596040000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;51.05699;4.676610000000000
Papilio machaon;51.05699;4.676610000000000
Papilio machaon;50.75306;3.531600000000000
Papilio machaon;50.82665;5.023340000000000
Papilio machaon;51.09094;5.320490000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;50.91263;5.240470000000000
Papilio machaon;51.22979;5.112600000000000
Papilio machaon;51.22979;5.112600000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.15849;3.321740000000000
Papilio machaon;51.10873;4.107070000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;51.00639;5.031160000000000
Papilio machaon;50.87721;4.670150000000000
Papilio machaon;51.00878;4.888710000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.96497;4.815720000000000
Papilio machaon;50.81543;5.590750000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.74768;4.240280000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.14788;4.608420000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.90981;5.382590000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.79802;3.532110000000000
Papilio machaon;51.00109;5.316000000000000
Papilio machaon;51.10088;4.749620000000000
Papilio machaon;50.83227;4.668550000000000
Papilio machaon;50.83227;4.668550000000000
Papilio machaon;51.15849;3.321740000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;50.87821;4.599110000000000
Papilio machaon;51.09979;4.820990000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;51.05699;4.676610000000000
Papilio machaon;51.05699;4.676610000000000
Papilio machaon;51.05699;4.676610000000000
Papilio machaon;51.11305;3.464290000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;50.82786;4.952390000000000
Papilio machaon;51.05699;4.676610000000000
Papilio machaon;50.83227;4.668550000000000
Papilio machaon;50.92315;4.600650000000000
Papilio machaon;51.15801;3.464740000000000
Papilio machaon;51.06705;3.677910000000000
Papilio machaon;51.15801;3.464740000000000
Papilio machaon;51.02313;3.463390000000000
Papilio machaon;51.02392;2.821760000000000
Papilio machaon;50.84406;3.177540000000000
Papilio machaon;51.11275;3.535720000000000
Papilio machaon;50.96606;4.744550000000000
Papilio machaon;51.10193;4.678240000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.88578;3.888520000000000
Papilio machaon;51.10193;4.678240000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;50.83227;4.668550000000000
Papilio machaon;51.27340;5.186290000000000
Papilio machaon;50.81543;5.590750000000000
Papilio machaon;51.20363;3.250490000000000
Papilio machaon;51.05699;4.676610000000000
Papilio machaon;51.12984;5.608310000000000
Papilio machaon;50.81543;5.590750000000000
Papilio machaon;51.05372;4.890530000000000
Papilio machaon;51.27340;5.186290000000000
Papilio machaon;50.75362;3.389840000000000
Papilio machaon;51.05699;4.676610000000000
Papilio machaon;51.05699;4.676610000000000
Papilio machaon;50.78832;4.596040000000000
Papilio machaon;51.22979;5.112600000000000
Papilio machaon;51.22979;5.112600000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;50.83227;4.668550000000000
Papilio machaon;50.92112;4.742870000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.75271;3.602480000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.93217;3.675940000000000
Papilio machaon;50.83966;4.029670000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.02065;3.891100000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.84406;3.177540000000000
Papilio machaon;50.93386;3.249040000000000
Papilio machaon;50.81543;5.590750000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.02065;3.891100000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;51.01883;4.104920000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.27472;5.114660000000000
Papilio machaon;51.05485;4.819230000000000
Papilio machaon;50.82786;4.952390000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;50.82903;4.881440000000000
Papilio machaon;51.00761;4.959930000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.84406;3.177540000000000
Papilio machaon;50.88872;3.319880000000000
